code,description,category
841460,"Hoods: ventilating or recycling hoods incorporating a fan, whether or not fitted with filters, having a maximum horizontal side not exceeding 120cm","Household Heating & Ventilation (f.i. hoods, ventilators, space heaters)"
851621,Heating apparatus: electric storage heating radiators,"Household Heating & Ventilation (f.i. hoods, ventilators, space heaters)"
851629,Heating apparatus: electric soil heating apparatus and space heating apparatus (excluding storage heating radiators),"Household Heating & Ventilation (f.i. hoods, ventilators, space heaters)"
