code,description,category
841583,"Air conditioning machines: containing a motor driven fan, other than window or wall types, not incorporating a refrigerating unit","Professional Cooling (f.i. large airconditioners, cooling displays)"
841850,"Furniture incorporating refrigerating or freezing equipment: for storage and display, n.e.c. in item no. 8418.1, 8418.2, 8418.3 or 8418.4 (chests, cabinets, display counters, show-cases and the like)","Professional Cooling (f.i. large airconditioners, cooling displays)"
841869,Refrigerating or freezing equipment: n.e.c. in heading no. 8418,"Professional Cooling (f.i. large airconditioners, cooling displays)"
