metal,hs_code,description
germanium,282560,Germanium oxides and zirconium dioxide
germanium,811292,"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium: articles thereof, unwrought, including waste and scrap, powders"
germanium,811299,"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium: articles thereof, other than unwrought including waste and scrap and powders"
