code,description,category
851711,Line telephone sets with cordless handsets,"Telecom (f.i. (cordless) phones, answering machines)"
851718,Telephone sets n.e.c. in item no. 8517.1,"Telecom (f.i. (cordless) phones, answering machines)"
851769,"Communication apparatus (excluding telephone sets or base stations): machines for the transmission or reception of voice, images or other data (including wired/wireless networks), n.e.c. in item no. 8517.6","Telecom (f.i. (cordless) phones, answering machines)"
903040,"Instruments and apparatus: specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","Telecom (f.i. (cordless) phones, answering machines)"
