code,description,category
844331,"Printing, copying, and facsimile machines: machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network","Printers (f.i. scanners, multifunctionals, faxes)"
844332,"Printing, copying, and facsimile machines: single-function printing, copying or facsimile machines, capable of connecting to an automatic data processing machine or to a network","Printers (f.i. scanners, multifunctionals, faxes)"
