code,description,category
852841,Cathode-ray tube monitors: of a kind solely or principally used in an automatic data processing system of heading 84.71,Cathode Ray Tube Monitors
852849,Cathode-ray tube monitors: other than of a kind solely or principally used in an automatic data processing system of heading 84.71,Cathode Ray Tube Monitors
