code,description,category
847141,"Automatic data processing machines: comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined, n.e.c. in item no. 8471.30","Desktop PCs (excl. monitors, accessoires)"
847149,"Automatic data processing machines: presented in the form of systems, n.e.c. in item no. 8471.30 or 8471.41","Desktop PCs (excl. monitors, accessoires)"
847150,"Units of automatic data processing machines: processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units","Desktop PCs (excl. monitors, accessoires)"
