code,description,category
852851,Monitors other than cathode-ray tube: of a kind solely or principally used in an automatic data processing system of heading 84.71,"Flat Display Panel Monitors (LCD, LED)"
852859,Monitors other than cathode-ray tube: other than of a kind solely or principally used in an automatic data processing system of heading 84.71,"Flat Display Panel Monitors (LCD, LED)"
853120,"Signalling apparatus: electric, sound or visual, indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes (LED), excluding those of heading no. 8512 or 8530","Flat Display Panel Monitors (LCD, LED)"
