metal,hs_code,description
tantalum,261590,"Niobium, tantalum, vanadium ores and concentrates"
tantalum,810320,"Tantalum: unwrought, including bars and rods obtained simply by sintering, powders"
tantalum,810330,Tantalum: waste and scrap
tantalum,810390,Tantalum: articles n.e.c. in heading no. 8103
tantalum,853221,"Electrical capacitors: fixed, tantalum"
