code,description,category
850811,"Vacuum cleaners, with self-contained electric motor, of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20L",Vacuum Cleaners (excl. professional)
850819,"Vacuum cleaners, with self-contained electric motor, n.e.c. in item no. 8508.1",Vacuum Cleaners (excl. professional)
850860,"Vacuum cleaners, other than with a self-contained electric motor",Vacuum Cleaners (excl. professional)
