code,description,category
843311,"Mowers: lawn, parks or sports-grounds, powered, with the cutting device rotating in a horizontal plane","Professional Tools (f.i. for welding, soldering, milling)"
843319,"Mowers: for lawns, parks or sports-grounds, other than with the cutting device rotating in a horizontal plane","Professional Tools (f.i. for welding, soldering, milling)"
