metal,hs_code,description
gallium,811292,"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium: articles thereof, unwrought, including waste and scrap, powders"
gallium,811299,"Gallium, germanium, hafnium, indium, niobium (columbium), rhenium and vanadium: articles thereof, other than unwrought including waste and scrap and powders"
