category,hs_code,description
leds_lasers,845610,"Machine-tools: for working any material by removal of material, operated by laser or other light or photon beam processes"
leds_lasers,853120,"Signalling apparatus: electric, sound or visual, indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes (LED), excluding those of heading no. 8512 or 8530"
leds_lasers,901320,Lasers: other than laser diodes
