code,description,category
852712,Radio broadcast receivers capable of operating without an external power source: pocket-size radio cassette-players,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)"
852713,"Radio broadcast receivers capable of operating without an external power source: apparatus (other than pocket-size radio cassette-players), combined with sound recording or reproducing apparatus","Portable Audio & Video (f.i. MP3, e-readers, car navigation)"
852719,Radio broadcast receivers capable of operating without an external power source: n.e.c. in item no. 8527.1,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)"
852791,Radio-broadcast receivers n.e.c. in heading no. 8527: combined with sound recording or reproducing apparatus,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)"
852792,Radio-broadcast receivers n.e.c. in heading no. 8527: not combined with sound recording or reproducing apparatus but combined with a clock,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)"
852799,Radio-broadcast receivers n.e.c. in heading no. 8527: not combined with sound recording or reproducing apparatus and not combined with a clock,"Portable Audio & Video (f.i. MP3, e-readers, car navigation)"
