code,description,category
851712,Telephones for cellular networks or for other wireless networks,"Mobile Phones (incl. smartphones, pagers)"
851761,Base stations,"Mobile Phones (incl. smartphones, pagers)"
851950,Sound recording or reproducing apparatus: telephone answering machines,"Mobile Phones (incl. smartphones, pagers)"
