code,description,category
853931,"Lamps: discharge, (excluding ultra-violet), fluorescent, hot cathode","Special Lamps (f.i. professional mercury, high & low pressure sodium)"
853932,"Lamps: discharge, (excluding ultra-violet), mercury or sodium vapour lamps, metal halide lamps","Special Lamps (f.i. professional mercury, high & low pressure sodium)"
853939,"Lamps: discharge, (excluding ultra-violet, excluding fluorescent, hot cathode)","Special Lamps (f.i. professional mercury, high & low pressure sodium)"
