metal,hs_code,description
antimony,261710,Antimony ores and concentrates
antimony,261790,Ores and concentrates n.e.c. in chapter 26: other than antimony
antimony,262091,"Slag, ash and residues: (not from the manufacture of iron or steel), containing antimony, beryllium, cadmium, chromium or their mixtures"
antimony,282580,Antimony oxides
antimony,780191,"Lead: unwrought, unrefined, containing by weight antimony as the principal other element"
antimony,780199,"Lead: unwrought, unrefined, not containing by weight antimony as the principal other element"
antimony,811010,"Antimony and articles thereof: unwrought antimony, powders"
antimony,811020,Antimony: waste and scrap
antimony,811090,"Antimony and articles thereof: wrought, other than waste and scrap"
