code,description,category
851610,"Heaters: electric, instantaneous or storage water and immersion heaters","Hot Water (f.i. coffee, tea, water cookers)"
851671,"Electro-thermic appliances: coffee or tea makers, of a kind used for domestic purposes","Hot Water (f.i. coffee, tea, water cookers)"
