code,description,category
845011,"Washing machines: household or laundry-type, fully-automatic, (of a dry linen capacity not exceeding 10kg)",Washing Machines (incl. combined dryers)
845012,"Washing machines: household or laundry-type, with built-in centrifugal drier, (not fully-automatic), of a dry linen capacity not exceeding 10kg",Washing Machines (incl. combined dryers)
845019,"Washing machines: household or laundry-type, not fully-automatic, without built-in centrifugal drier, of a dry linen capacity not exceeding 10kg",Washing Machines (incl. combined dryers)
845020,"Washing machines: household or laundry-type, of a dry linen capacity exceeding 10kg",Washing Machines (incl. combined dryers)
